class,wavelength,r_rs_b_mean,r_rs_b_sd
agar,603.7,0.009643679372466223,0.001964940519648739
agar,605.3,0.009549697187198107,0.002016515265026972
agar,606.8,0.009361922037508064,0.0020781217992432025
agar,608.3,0.009114975372782908,0.0021505781901808066
agar,609.9,0.00882553995927281,0.0022086586863063343
agar,611.4,0.008519563820018998,0.002283178320908657
agar,612.9,0.008232093784160784,0.002333196932035901
agar,614.5,0.007948082926422257,0.002365836901422862
agar,616,0.007706059035779507,0.002406215021110257
agar,617.5,0.007487689608873407,0.0024648964543973043
agar,619,0.00730852682120135,0.0024922177846854222
agar,620.6,0.007178587098594426,0.0025348515681267265
agar,622.1,0.0070966634036603755,0.00253519647286784
agar,623.6,0.007033874703623709,0.002549157272322498
agar,625.2,0.00698999038045409,0.002578312787128214
agar,626.7,0.006952833474357753,0.002614033219499895
agar,628.2,0.0069050195277371865,0.0026075953544809414
agar,629.7,0.006863793830906481,0.0026194643709579477
agar,631.3,0.006784346753361642,0.002625903343625783
agar,632.8,0.0067043665146071865,0.002645210073130676
agar,634.3,0.006657179779780533,0.002675374566899452
